video_id,views,collects,diggs,comments,shares
7524022542588218646,1400000,7482,204500,1306,767
7523986455211904279,1300000,8224,181200,575,927
7525218754989477142,1400000,3338,80200,1147,9761
7525174599995133206,1000000,13700,184800,1006,961
7525051683349515542,1400000,2652,69900,1746,650
7525045824103927062,1100000,790,4718,153,771
7524044898320928022,5000000,45800,869400,3558,84600
7522756653654002966,4000000,8665,214400,2684,595
7521312479012572438,8400000,19100,530800,5938,17200
7519224447405116694,6200000,12800,363400,1437,9668
7523242837467598102,208100000,1600000,31900000,113200,7200000
7522346197202324758,6100000,13700,457300,3310,15700
7524103185456303382,706100,2405,61600,298,1045
7525041874961403138,1100000,1376,30500,199,868
7525133816533454102,14900000,43500,613400,4262,9155
7524726168176643350,1100000,7714,267300,258,2156
7526086824318553366,1400000,1757,9701,866,2044
7524066585233853701,124300,1015,5240,21,99
7524389492833144086,127200,471,7925,304,210
7524925432651713814,58300,269,2487,73,179
7525136581439524118,136600,998,9548,50,180
7509514279729548566,115300,1301,18500,161,136
7524170048601181462,140900,5712,26200,63,1053
7526089595210009878,8200000,100100,1200000,5278,24700
7525374920298188054,6800000,9799,292900,1444,1052
7524044898320928022,5400000,49700,927100,3856,89100
7524292924507426078,161300000,211400,2000000,14400,743300
7520995287171665154,560500,11900,68100,199,5155
7495867041937771798,16800,34,845,5,1
7524154091346431245,1400000,28300,272400,554,14000
7506232321167641878,8900000,344600,1300000,3107,85600
7525057735520554242,5314,44,474,4,46
7523701561827101974,1100000,5101,149900,803,2360
7524700467260149014,1400000,3283,82300,107,663
7524425914931858710,52500,311,4936,80,558
7524836950981741831,238000,1587,25800,39,648
7525005325963971862,52500,620,9384,29,629
7523501381966122295,104400,1479,12300,3,166
7524693906202660118,3300000,13400,341200,541,12200
7523246058491907350,4400000,6009,153200,513,2082
7524415474935893270,17600000,68900,1400000,6758,412500
7522514239014112534,4600000,8599,113000,542,4771
7524020494203538710,2400000,968,46300,190,523
7524036667099925782,3800000,59900,789900,2912,69800
7524775660254989590,3100000,6056,241600,846,3548
7525378106174016824,49000000,280400,6600000,19100,1400000
7522886759479250198,22600000,97700,2000000,10000,91100
7524312585190018327,2300000,14700,233600,734,6758
7525159743791402262,2100000,3848,118200,1005,568
7522507818218360086,25800000,76100,1300000,11500,71100
7524401381256465686,2400000,4595,65100,604,11100
7524354696849460503,2300000,6443,98900,318,2657
7524836677697817878,2900000,26100,319100,6764,18800
7525382852557475094,1900000,11100,154200,1086,22800
7519791753583512854,2400000,1128,50500,75,191
7526937258897739030,2700000,13700,147100,1034,41900
7527637221105503510,4600000,33500,777400,5640,46500
7526946789207903510,2300000,6249,227500,911,17000
7526943912662027542,3400000,9307,311100,3756,15300
7526610866733681942,1800000,7977,118800,864,10600
7526670715777551638,3200000,4595,59000,1240,2333
