video_id,views,collects,diggs,comments,shares
7526153762008894743,1800000,5954,141800,456,3057
7526122349804915990,19000000,30200,453300,6505,161600
7527328321701481750,1500000,9919,174200,857,8820
7526101249452674326,2900000,33000,488100,1053,74800
7526220244042534166,2300000,8924,189100,2407,36100
7526278304085675286,10500000,20500,511800,3555,4918
7526570064632483094,4200000,23500,231500,668,16800
7526610866733681942,1600000,7206,107600,764,9749
7525592369954295042,1400000,9001,264700,536,4927
7527388850130488598,28900,92,1024,31,76
7525097714321755414,396700,1614,25200,61,1995
7525874449065823510,532500,389,1759,42,51
7527323218454023446,154400,93,3146,250,25
7526820371836800278,78500,99,828,44,59
7526459933156478230,1200000,1525,69800,139,1533
7526274089372093718,2800000,42200,276400,1533,42100
7526632737353026872,195000,1429,5749,37,110
7519842623008345366,147400,513,4234,33,442
7524674825521057046,526100,1416,21700,1697,370
7525407909757390102,840500,3351,75000,873,3715
7526136444872723735,1400000,15400,122100,1483,25800
7525802740962823446,2000000,13000,174800,1807,17600
7526112688666135830,1500000,10600,284500,619,10400
7525775639949937943,1500000,4981,104000,491,716
7524770156736744710,21300000,10500,202300,3121,4531
7519917205090323734,8100000,23700,595500,3773,6990
7524759459491581206,3700000,10300,328400,3720,7949
7525027401613561110,673100,2126,29400,45,1499
7526536409591581974,131400,1691,3655,164,379
7515819079177948438,287700,1188,4962,298,2522
7513998385532177666,18000,42,588,47,12
7522399164454472982,750200,2808,63400,170,4235
7526242138628132118,178200,98,1044,103,158
7524674825521057046,526000,1414,21700,1697,370
7525773231811251478,2212,41,112,0,5
7527326953796357398,791,6,43,0,0
7520064644468264214,257500,1480,14500,332,2895
7522934091038133526,90100,578,9449,158,343
7525794654189751574,1200000,4909,94200,1148,2007
7526482541109529878,1400000,2498,73900,730,7485
7524834361464851735,1500000,2977,111400,352,4892
7525193240166010135,1600000,3285,41900,570,2018
7525002748551613718,1200000,7339,226600,2452,78500
7525186909996322070,19200000,91600,1900000,9517,681800
